"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
5949890,796208,"O",82496.77,"1995-09-26","3-MEDIUM","Clerk#000005680",0,"ests. fluffily ironic accounts against the quickly special excuses are sly"
5949920,275707,"O",213115.15,"1995-09-19","2-HIGH","Clerk#000000012",0,"fily ironic requests might play blithely. special instructions cajole. r"
5949922,582550,"O",94669.92,"1995-12-09","4-NOT SPECIFIED","Clerk#000004205",0,"ronic, silent instruc"
5949924,1161128,"O",98391.32,"1995-07-19","4-NOT SPECIFIED","Clerk#000004771",0,"lar packages. instructions might haggle. slyly unusual accounts except the"
5949958,566596,"P",247184.13,"1995-03-23","3-MEDIUM","Clerk#000009374",0,"o beans. final accounts haggle. quick, unusual"
5949985,411752,"O",119993.29,"1995-07-20","1-URGENT","Clerk#000008791",0," blithely even platelets are caref"
5949990,795055,"O",72512.60,"1995-10-28","1-URGENT","Clerk#000003846",0,"eep blithely. instructions about the unusual excuses wake across "
5949991,464980,"F",62505.94,"1995-02-09","4-NOT SPECIFIED","Clerk#000002234",0,"usly quickly even requests. slyly unusual deposits use carefully final escap"
5950048,421367,"P",271586.37,"1995-03-15","4-NOT SPECIFIED","Clerk#000003930",0,"s around the fluffily final deposits snooze after the fluffily even she"
5950144,358234,"O",147360.12,"1995-09-14","2-HIGH","Clerk#000002737",0,"oss the grouches. slyly regular forges c"
5950179,1238422,"O",186258.52,"1995-07-30","4-NOT SPECIFIED","Clerk#000006072",0,"theodolites cajole fluffily regular deposits. even foxes wake. blithe"
5950211,787552,"O",257436.11,"1995-12-28","2-HIGH","Clerk#000005856",0," the furiously ironic packages. carefully regular requests haggle "
5950213,66268,"O",293752.44,"1995-07-11","3-MEDIUM","Clerk#000003369",0,"to the fluffily express asymptotes. carefully ironic accounts "
5950241,1039976,"F",155398.46,"1995-02-10","2-HIGH","Clerk#000003548",0,"ealms wake fluffily fur"
5950274,20030,"P",98690.64,"1995-05-06","4-NOT SPECIFIED","Clerk#000000099",0," final packages might use quickly alongside of the carefully sp"
5950279,329867,"F",49838.10,"1995-02-14","1-URGENT","Clerk#000004415",0,"across the carefully even pinto beans. even, regular re"
5950306,1211449,"O",265813.84,"1995-07-08","3-MEDIUM","Clerk#000002769",0,"c packages. bold ideas sleep by the slyly quiet courts. foxes "
5950341,239965,"P",261516.05,"1995-04-16","3-MEDIUM","Clerk#000000633",0,"es wake after the never final dependencies. blithely regular theodolites boos"
5950371,318805,"P",191871.86,"1995-03-04","2-HIGH","Clerk#000004527",0,"furiously final platelets hang slyly pending pinto beans. packages are "
5950374,1041751,"O",320412.68,"1995-07-31","3-MEDIUM","Clerk#000004619",0,"jole quickly according to the carefully ironic foxes. slyly special a"
5950407,157078,"O",335603.86,"1995-08-30","5-LOW","Clerk#000000353",0,"uriously express platelets. packages about the blithely bold asym"
5950464,820445,"O",219643.36,"1995-07-02","5-LOW","Clerk#000002502",0,"d instructions promise carefully after the quickly slow packages. blithely "
5950468,668668,"O",42356.58,"1995-10-02","3-MEDIUM","Clerk#000005531",0,"across the fluffily regular packages. dinos wake regular instru"
5950499,1113938,"F",145311.25,"1995-03-09","5-LOW","Clerk#000007614",0,"ts lose. even theodolites wake pending requests. furiously unusual accounts"
5950500,440269,"O",164586.41,"1995-12-09","4-NOT SPECIFIED","Clerk#000006241",0,"eodolites ought to impress "
5950501,85765,"O",250628.40,"1995-11-03","3-MEDIUM","Clerk#000007464",0,"es are thinly furiou"
5950529,1226956,"O",39976.06,"1995-08-05","2-HIGH","Clerk#000005665",0,"thely even dependencies sleep"
5950532,1477141,"O",213433.96,"1995-10-30","4-NOT SPECIFIED","Clerk#000009893",0,"sts. even deposits sleep. carefully unusual accounts haggle against the fluf"
5950533,1307311,"O",64168.27,"1995-06-17","4-NOT SPECIFIED","Clerk#000009054",0,"fluffily ironic epitaphs haggle "
5950593,600124,"O",10169.94,"1995-09-01","5-LOW","Clerk#000006035",0,"e bold requests. regular requests x-ray furio"
